overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
5.0,True,"04 9, 2018",A2N4Y0OQ8RP88Y,B0001FS9NE,,Pat Senter,I thought this to be very inexpensive for all that we got.  Great for the you boys for their computer center in our home school.,Great for the you boys for their computer center in ...,1523232000,,
5.0,True,"03 28, 2018",A24G9X47GNVI02,B0001FS9NE,,Freddy,"very good computer the intel Dual Core i3-2120 3.3GHz CPU, 4GB DDR3 RAM, 500GB HDD configuration is good enough for light use. The price is amazing",very good computer the intel Dual Core i3-2120 3,1522195200,,
5.0,True,"02 22, 2018",A1JV5541KYYH9Y,B0001FS9NE,,Jim Hanson,fantastic deal. very fast. great screen. solid laptop. really good.,"excellent value, high quality",1519257600,,
5.0,True,"02 15, 2018",A3HM2ZVKF7Z8LJ,B0001FS9NE,,mark braun,"Convertible
Size
HArd drive space
Like everything",Convertible,1518652800,,
5.0,True,"02 15, 2018",A147A9US858FV8,B0001FS9NE,,Jayson,awesome fast,Five Stars,1518652800,,
5.0,True,"02 10, 2018",A1HJTB0MIC4KQN,B0001FS9NE,,Amazon Customer,"It covers screen barely on sides. Falls bit short on top n bottom too. It may look like large size guy wearing medium size pants. Display is amazingly sharp, stunning and beautiful. It catches No fingerprints. It doesn't create a glare either. Works perfectly in outdoor too. Giving 5 stars only due to size issue. I wish it would be bit larger on all edges. I haven't dropped my phone since applying this screen protector so can't speak for that part. Will see how it goes.",It may look like  protector,1518220800,,
5.0,True,"01 12, 2018",A7NGASCWV27S7,B0001FS9NE,,JESSE HOLBROOK,thanks,Five Stars,1515715200,,
5.0,True,"10 19, 2017",A1V68ZGRMUT7YC,B0001FS9NE,,Alex Jenkins,"I have been using this for over a month. It is very fast and starts up quickly, and screen is especially pleasing to the eye.",I have been using this for over a month. ...,1508371200,,
5.0,True,"08 16, 2017",AOEYPSPIR3HBL,B0001FS9NE,,Matthew,Delivered on time and product was exactly as described. Would buy from this vendor again. Thank You,Five Stars,1502841600,,
5.0,True,"06 19, 2017",A3AKH3YQJ0POOA,B0001FS9NE,,Efrain Osuna,Estupendo,Five Stars,1497830400,,
5.0,True,"06 13, 2017",A3OZW1RD3LLRK8,B0001FS9NE,,Onlineorder42,Took a whole to get here but it works well and seems to be well constructed. Connected mine to a M2 bullet,Took a whole to get here but it works well ...,1497312000,,
5.0,True,"05 30, 2017",A24KVXQCVQ4XE8,B0001FS9NE,,Robert M.,great value wap,Five Stars,1496102400,,
5.0,True,"05 13, 2017",A18S5P9VX4QL18,B0001FS9NE,,Ofelia Tobias,My Grandson is very happy with this laptop!,Five Stars,1494633600,,
5.0,True,"04 1, 2017",A366GHYFWYLVCI,B0001FS9NE,,S. Thomas Dorey,Great find.  Seller stellar.  Need more.,Great find. Seller stellar,1491004800,,
5.0,True,"03 7, 2017",ACP6W0CULQ26N,B0001FS9NE,,Walter Lehnert,great,Five Stars,1488844800,,
