overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
5.0,False,"11 4, 2013",A3CG93783LP0FO,B00EZPXYP4,{'Platform:': ' PC Disc'},Yarii (cat mom),"I've used Norton 360 since 2009, except for a 6 month time period about a year ago when I tried Avast-Free which left me with 2 Trojan files that Norton 360 picked up on the minute I re-installed it. Since this is a 3 PC copy, I also installed it on my old desktop PC I use for work projects, and on my netbook. This runs unobtrusively in the background, even when doing a short scan, and doesn't slow any of my PC's down.

Here is what I have mine installed on:

Home Desktop PC: Windows 8.1, 3.4 Ghz Processor, 4 GB memory, Chrome browser
Home Netbook: Windows 7 Starter, 1.66 Ghz Processor, 2 GB memory, Mozilla Firefox browser, latest version
Old Desktop PC: Windows XP Professional, 2.4 Ghz Processor, with only 512K memory

I also think it's smarter to purchase the CD in lieu of downloading from Amazon. I like to have a physical copy in my hand in lieu of a download. Similarly, buy the CD instead of updating direct from Norton's web site. It's always more expensive from Symantec's site than buying a new installation CD here.",As great as always,1383523200,36,
5.0,False,"11 3, 2013",A2WCFDOCS73PNB,B00EZPXYP4,{'Platform:': ' PC Disc'},Gadgetman,"I have been using Norton 360 for all of my PC and laptops at home for many years. It is a trusted product and is more stable than many similar products out on the market.

Here is what I like about this product :

- easy to install and very user friendly to use
- provides robust protection against on-line threats and viruses
- does not take up a lot of CPU and memory resources
- automatic and user programmable scanning and optimization
- automatic backup of key files with encryption option",Stable and easy to use,1383436800,2,
4.0,False,"11 3, 2013",AMUP8DYE7EAN2,B00EZPXYP4,{'Platform:': ' PC Disc'},mateo52,"Because, while I'm not about to go looking under the hood and I can't see where the mechanics published any new exciting information about modifications to the engine, all I see are some rather inconsequential cosmetic changes to the user interface like the banner on the home screen now appearing as white rather than black ,Insight being relegated to a sub-menu,a link to download a power eraser tool if all else fails and  something about a cloud there's no way I'll ever use. So, if you were satisfied with the performance of the 2013 version of this security suite, nothing about this version should cause any concern (...well, other than installing it which we'll get to in a moment). If the interest is a first time install or a revisit to the Norton family, I am going to reiterate much of last year's review, because for the typical home user, I still believe this security alternative is among the most comprehensive and easiest to use packages presently available whether the need is for one PC or multiples.

However, as far as installation is concerned, there is unquestionably room for improvement. With the de-emphasis of internal optical drives, many software developers are moving toward downloadable products. Norton 360 still has a physical CD available but the recommended option is download from the Norton site, so naturally my choice is to install from the CD which is supposed to upgrade the existing version...yeah, right or more accurately.. yeah, but not without encumbrances like a conflict between two versions that is not resolvable without a hard restart. My suggestion would be to delete the old version and do a fresh install if the decision is to go with CD install. It might mean loss of histories, existing network mapping and resetting preferences but it might also be less of a headache than trying to transfer them via the supposed upgrade capability. From my second PC, I did go the online route and it worked without incident.

That said, and feeding into my unabashedly admitted laziness, the following is an excerpt from last year's review, and as I am a fan of the 360 product, probably a preview of my review of next year's version:

Norton 360 is a comprehensive security suite with an array of processes and tasks consolidated in a single application. The complement of features can be found in the manufacturer's description above. Each of the features could be addressed through other resources and admittedly, a few of them might well be more effectively administered by standalone apps, but for the user who wants to set it and forget it, this product is among the top choices.

For less knowledgeable users, who may desire to find out more about security protocols and firewall settings, there are support functions here that can assist and increase awareness of threats they may not have even known they could monitor, of particular interest if surfing curiosity takes the user to a wide range of unknown sites.  I know with dynamic IP assignment, 360 is a fast and convenient way to identify physical addresses for all of the devices I have on my network with logging on the router.  Backup to external drives or online to the Norton storage site is also supported. In fact, the only difference between the standard and Premium additions of this suite is the amount of basic online storage available, with the standard addition providing 2GB and the Premium 25GB. Users, however, with multi-device platforms including Macs and mobile devices would be better served by purchasing the Multi-device version of this software.

I am rather obsessive about running registry cleanup and 360 offers another utility to supplement the shareware app I use most regularly. I do so because I do think any one product successfully identifies all files that could be cleaned. Similarly, Startup manager is another utility that can be assessed elsewhere but is another convenience found in this product and scanning performance can be improved by adjustments available with Norton Insight.","Um, Whatever I said last year.",1383436800,6,
5.0,True,"07 31, 2017",A1CHOUPK2ZXJ42,B00EZPXYP4,{'Platform:': ' PC Disc'},James W. Schlotzhauer,"Right product, Right price.",Five Stars,1501459200,,
5.0,True,"02 7, 2016",ALLCK39NM5RJY,B00EZPXYP4,{'Platform:': ' PC Download'},mbrugh,great,Five Stars,1454803200,,
5.0,False,"08 28, 2015",A1U1G73EI5IRZF,B00EZPXYP4,{'Platform:': ' PC Disc'},Victor,The price of the product was nearly trippled since I bought Norton last time. Since 2015 all antivirus prices got increased except cheap McAfee.,The price of the product was nearly trippled since I ...,1440720000,,
1.0,True,"07 14, 2015",A1MKYTB0PW16IS,B00EZPXYP4,{'Platform:': ' PC Disc'},G. George,"A message for all Norton 360 2014, 2015 Products: See my previous customer review of Norton 360 2013 and CAVEAT EMPTOR! Let the Buyer beware of this product and how subscriptions are dropped dumped for the sake of increased cash flow and new business. I gave Norton One Star only because I had to assign a value to get my review published.",Don't Buy This Stuff!,1436832000,,
5.0,True,"06 29, 2015",A3B3CXPFQ8VBHY,B00EZPXYP4,{'Platform:': ' PC Disc'},MJM,Loyal to Norton Products,Great produce,1435536000,,
5.0,True,"06 14, 2015",A3QED0Y8VGXZJJ,B00EZPXYP4,{'Platform:': ' PC Download'},Santiago,"Great product , works as described",Five Stars,1434240000,,
5.0,True,"06 1, 2015",AJKGD52I9DGCN,B00EZPXYP4,{'Platform:': ' PC Disc'},Roberto,very good,Five Stars,1433116800,,
