overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
5.0,True,"12 2, 2013",A3H1L8J408EMXK,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},Great Poobah,I've used Turbotax since it first came out and find it an excellent buy. Most people using an accountant would save a bunch of money using it. It has an easy step process that walks you through the entire process and your state tax is automatically prepared as you prepare your federal tax. A friend tried it recreating his tax that had been prepared by his accountant and found Turbotax lowered his tax.,An excellent buy,1385942400,4,
5.0,True,"11 26, 2013",A1X1CEGHTHMBL1,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},JJCEO,"I do our taxes every year and it is a tedious job. If it wasn't for TurboTax I probably would have it done. This year's version is pretty much the same as past years and I am glad because I have used the software for as long as I can remember and I like following the same walk through routine that TurboTax makes you follow.  Using TurboTax is fast and easy and I like several features that I use every year:

* The ability to import last year's data automatically into this year's preparation.
* The ability to E-file your taxes with the federal government which speeds up your refund, if you are getting one.
* The itemized deductions for gifts to charity is very helpful as we donate quite a bit every year and it makes it easier to compile a list, keep it for your records and come up with a reasonable value to claim on your taxes.
* I actually pre-calculate my next year's taxes and print out the forms to mail in quarterly payments for the next year's taxes to avoid a penalty.
* The ability to keep a PDF copy of your tax return forms for your records as well as print out the forms it you need them.
* I always save my tax computer files and I buy the disk version of TurboTax in case I have to reinstall the software and make an update or file an amended tax return later on.

The nice thing is that you can update the program and make sure that you have all of the latest updates to the tax laws and forms.  Having TurboTax walks me through the forms and helps me fill them out faster and easier than reading all of those tax pages written for lawyers.

I just use the combined federal and state version of TurboTax and file electronically.  This version includes the ability to file up to 5 Federal tax reports electronically. You can download the state version of TurboTax for one state for free.  If you want to file your state return electronically then you have to pay for the privilege.  I like the fact that I can quickly do my state taxes after finishing the federal forms.  I also always estimate my next year's taxes and print out the prepayment forms that I customize to fit what additional income I am expecting.

These are just a few of the main features that I like with TurboTax and I recommend the software to you as an easy tool to use. I do wait to find a good price on it as the price keeps going up and up every year.",A solid and reliable tax software program that I have used for many years!,1385424000,127,
5.0,True,"04 13, 2016",A2SQZL4FSRTKA6,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},Roy Batty,"Always good, easy, and accurate.",Five Stars,1460505600,,
4.0,True,"12 2, 2015",A1DPOEBIUY9IVI,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},Vishwa,satisfied,Four Stars,1449014400,,
5.0,True,"07 17, 2015",A2ZFQ9RT9Y9NQN,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},rigilsp,Filed without issue.,It worked,1437091200,,
3.0,True,"05 6, 2015",A20OIY9CQ4S5JI,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},Sharon Matthews,"We use Turbo Tax every year for our taxes, but were disappointed to have to buy the Premier edition because the Deluxe edition did not have the federal forms that we needed to file our taxes. So no we have a Deluxe edition new-in-box that we can't use.",Turbo Tax - the not-so-Deluxe edition,1430870400,,
5.0,True,"04 29, 2015",A1UQOCC5QU9GCU,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},Lucy Z.,The best tax software,Tax time,1430265600,,
5.0,True,"01 10, 2015",A21YKKGDHH4YAL,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},P C-P,good,Five Stars,1420848000,,
4.0,True,"01 8, 2015",AUEUB778AU7MW,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},youngor,Delivered as advertised.,Four Stars,1420675200,,
3.0,True,"01 4, 2015",A6T2B13WYCMJG,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},T. J.,"2013 version

I have used both TurboTax and TaxCut through the years.  Neither is substantially better than the other because ultimately they get you to the same place.  I prefer the feel of TaxCut, but have no issues navigating TurboTax either.

But - getting Deluxe with the State is the way to go if your state requires a return.",Wash between TurboTax vs TaxCut,1420329600,,
5.0,True,"12 31, 2014",A5G3GY4XV6E7A,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},Cowboybob,Good product I use it every year and have done so since the 1990s,Five Stars,1419984000,,
5.0,True,"12 17, 2014",A1RGW8ZYX0PAE1,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},DC-User,"I have been using Turbotax for many years.  However, that will end with tax year 2014.  I just discovered that Turbotax Deluxe no longer supports Schedules C, D and E!  Intuit wants us to move up to their more expensive products.  Screw that.  Time to check out the H&R Block.",The last of a good product - Turbotax 2014 sucks,1418774400,,
5.0,True,"10 19, 2014",A235X21ECO1W4R,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},Avid Reader,"The only way to do your taxes, I've used it for years.",Great tax software,1413676800,,
4.0,True,"10 11, 2014",A1I9Z7BQW5ZD0S,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},AJBlessedLife,"Easy to follow and use. My taxes are simple since I don't have children, my own home or are in school. They walk you step by step through the process and its easy to follow so even if you have kids or a home it shouldn't be a problem.",Good product,1412985600,,
4.0,True,"10 9, 2014",A2KIZOKNM0A1JG,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},Karl B47,"As a longtime TurboTax user, I find this program continues to fit my needs.",Another Good Year for TurboTax,1412812800,,
5.0,True,"09 12, 2014",A3C2O6SS4ITQHC,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},Eric,"Easy to use and accurate, love the electronic filing.",Five Stars,1410480000,,
4.0,True,"08 10, 2014",A1Z2IWNP7IHKCC,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},David L. Goepfert,Good product at a reasonable price.,Four Stars,1407628800,,
5.0,True,"08 1, 2014",A2PXBHHYYF5OQB,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},RX,Easy to install and upgrade.  Performed as expected.  No problems.,Five Stars,1406851200,,
4.0,True,"07 28, 2014",A3IJ4Z18FTIIP,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},K. Halloran,"I have used TurboTax every year for what seems like forever, at least 15 years.  Not that I love it but it works and can carry over and import what I need.  Would be happy if they didn't play with the user interface each year but guess they have to keep the software engineers busy.  They have their bugs and you have to check the form level of the taxes to ensure no mistakes.",Have used for years,1406505600,,
5.0,True,"07 19, 2014",A3OKJR8V2MR3Z9,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},Robert Manning,"I have been using Turbo Tax for years. It is so simple and easy to use, my kid can do it. Easy to follow forms with step by step instruction. Plus helpful side notes.",Be your own tax man,1405728000,,
